D,D,D,D,D,D,,Instructions
,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,D,Kyle Busch (12382461),Kyle Busch,12382461,D,12900,Food City 500,Nasca,70.17
,,,,,,,D,Brad Keselowski (12382462),Brad Keselowski,12382462,D,12200,Food City 500,Nasca,57.17
,,,,,,,D,Kevin Harvick (12382463),Kevin Harvick,12382463,D,11600,Food City 500,Nasca,49.36
,,,,,,,D,Joey Logano (12382464),Joey Logano,12382464,D,11100,Food City 500,Nasca,44.28
,,,,,,,D,Kurt Busch (12382465),Kurt Busch,12382465,D,10700,Food City 500,Nasca,49.56
,,,,,,,D,Ryan Blaney (12382466),Ryan Blaney,12382466,D,10300,Food City 500,Nasca,39.19
,,,,,,,D,Martin Truex Jr (12382467),Martin Truex Jr,12382467,D,9800,Food City 500,Nasca,43.39
,,,,,,,D,Kyle Larson (12382468),Kyle Larson,12382468,D,9500,Food City 500,Nasca,37.61
,,,,,,,D,Denny Hamlin (12382469),Denny Hamlin,12382469,D,9200,Food City 500,Nasca,45.22
,,,,,,,D,Chase Elliott (12382470),Chase Elliott,12382470,D,8900,Food City 500,Nasca,42.78
,,,,,,,D,Clint Bowyer (12382471),Clint Bowyer,12382471,D,8600,Food City 500,Nasca,36.94
,,,,,,,D,Aric Almirola (12382472),Aric Almirola,12382472,D,8300,Food City 500,Nasca,41.89
,,,,,,,D,Jimmie Johnson (12382473),Jimmie Johnson,12382473,D,8000,Food City 500,Nasca,32.56
,,,,,,,D,Erik Jones (12382474),Erik Jones,12382474,D,7800,Food City 500,Nasca,32
,,,,,,,D,Ricky Stenhouse Jr (12382475),Ricky Stenhouse Jr,12382475,D,7600,Food City 500,Nasca,31.47
,,,,,,,D,Alex Bowman (12382476),Alex Bowman,12382476,D,7400,Food City 500,Nasca,25.75
,,,,,,,D,Daniel Suarez (12382477),Daniel Suarez,12382477,D,7300,Food City 500,Nasca,33.36
,,,,,,,D,Austin Dillon (12382478),Austin Dillon,12382478,D,7200,Food City 500,Nasca,30
,,,,,,,D,Ryan Newman (12382479),Ryan Newman,12382479,D,7000,Food City 500,Nasca,30.17
,,,,,,,D,Paul Menard (12382480),Paul Menard,12382480,D,6900,Food City 500,Nasca,26.75
,,,,,,,D,William Byron (12382481),William Byron,12382481,D,6800,Food City 500,Nasca,28.56
,,,,,,,D,Matt DiBenedetto (12382482),Matt DiBenedetto,12382482,D,6700,Food City 500,Nasca,24.97
,,,,,,,D,Ryan Preece (12382483),Ryan Preece,12382483,D,6500,Food City 500,Nasca,22.94
,,,,,,,D,Chris Buescher (12382484),Chris Buescher,12382484,D,6400,Food City 500,Nasca,27.62
,,,,,,,D,Bubba Wallace (12382485),Bubba Wallace,12382485,D,6200,Food City 500,Nasca,18.06
,,,,,,,D,Daniel Hemric (12382486),Daniel Hemric,12382486,D,6000,Food City 500,Nasca,12.91
,,,,,,,D,Ty Dillon (12382487),Ty Dillon,12382487,D,5800,Food City 500,Nasca,27
,,,,,,,D,Ross Chastain (12382488),Ross Chastain,12382488,D,5700,Food City 500,Nasca,24.56
,,,,,,,D,David Ragan (12382489),David Ragan,12382489,D,5600,Food City 500,Nasca,18.81
,,,,,,,D,Matt Tifft (12382490),Matt Tifft,12382490,D,5500,Food City 500,Nasca,20.31
,,,,,,,D,Michael McDowell (12382491),Michael McDowell,12382491,D,5400,Food City 500,Nasca,16.94
,,,,,,,D,Landon Cassill (12382492),Landon Cassill,12382492,D,5300,Food City 500,Nasca,18.03
,,,,,,,D,Corey Lajoie (12382493),Corey Lajoie,12382493,D,5200,Food City 500,Nasca,20.44
,,,,,,,D,Quin Houff (12382494),Quin Houff,12382494,D,5100,Food City 500,Nasca,19
,,,,,,,D,Joey Gase (12382495),Joey Gase,12382495,D,5000,Food City 500,Nasca,13.67
,,,,,,,D,Cody Ware (12382496),Cody Ware,12382496,D,4900,Food City 500,Nasca,11.5
,,,,,,,D,Bayley Currey (12382497),Bayley Currey,12382497,D,4800,Food City 500,Nasca,14.25
,,,,,,,D,Gray Gaulding (12386036),Gray Gaulding,12386036,D,4700,Food City 500,Nasca,0
