"Id","Position","First Name","Nickname","Last Name","FPPG","Raced","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"35257-82863","D","Kyle","Kyle Busch","Busch","71.01538555438702","13","15000","","","","","","","",""
"35257-82889","D","Joey","Joey Logano","Logano","66.17692213792067","13","14500","","","","","","","",""
"35257-82879","D","Kevin","Kevin Harvick","Harvick","59.18461726262019","13","14000","","","","","","","",""
"35257-82903","D","Martin","Martin Truex Jr.","Truex Jr.","64.56153752253606","13","13500","","","","","","","",""
"35257-82872","D","Chase","Chase Elliott","Elliott","62.48461444561298","13","13200","","","","","","","",""
"35257-82886","D","Brad","Brad Keselowski","Keselowski","62.07692307692308","13","12600","","","","","","","",""
"35257-82878","D","Denny","Denny Hamlin","Hamlin","60.22307880108173","13","12400","","","","","","","",""
"35257-82858","D","Ryan","Ryan Blaney","Blaney","55.22307880108173","13","12200","","","","","","","",""
"35257-82860","D","Clint","Clint Bowyer","Bowyer","56.82307786207933","13","11500","","","","","","","",""
"35257-82862","D","Kurt","Kurt Busch","Busch","66.53077110877403","13","11200","","","","","","","",""
"35257-82855","D","Aric","Aric Almirola","Almirola","52.46153846153846","13","11000","","","","","","","",""
"35257-82888","D","Kyle","Kyle Larson","Larson","49.01538555438702","13","10500","","","","","","","",""
"35257-82882","D","Jimmie","Jimmie Johnson","Johnson","55.73076923076923","13","10000","","","","","","","",""
"35257-82883","D","Erik","Erik Jones","Jones","55.39230581430289","13","9800","","","","","","","",""
"35257-82901","D","Daniel","Daniel Suarez","Suarez","57.64615572415865","13","9400","","","","","","","",""
"35257-82869","D","Austin","Austin Dillon","Dillon","54.16153658353365","13","9000","","","","","","","",""
"35257-82859","D","Alex","Alex Bowman","Bowman","53.26923076923077","13","8600","","","","","","","",""
"35257-82900","D","Ricky","Ricky Stenhouse Jr.","Stenhouse Jr.","50.7749989827474","12","8400","","","","","","","",""
"35257-82895","D","Ryan","Ryan Newman","Newman","57.54615196814904","13","8000","","","","","","","",""
"35257-82894","D","Paul","Paul Menard","Menard","54.07692307692308","13","7500","","","","","","","",""
"35257-82864","D","William","William Byron","Byron","54.258331298828125","12","7200","","","","","","","",""
"35257-82861","D","Chris","Chris Buescher","Buescher","51.541666666666664","12","6700","","","","","","","",""
"35257-82870","D","Ty","Ty Dillon","Dillon","53.54999796549479","12","6500","","","","","","","",""
"35257-82868","D","Matt","Matt DiBenedetto","DiBenedetto","50.07500203450521","12","6300","","","","","","","",""
"35257-101999","D","Ryan","Ryan Preece","Preece","50.98333231608073","12","6200","","","","","","","",""
"35257-82897","D","David","David Ragan","Ragan","45.94166564941406","12","6000","","","","","","","",""
"35257-82880","D","Daniel","Daniel Hemric","Hemric","44.1000010172526","12","5500","","","","","","","",""
"35257-82904","D","Bubba","Bubba Wallace","Wallace","43.21666463216146","12","5000","","","","","","","",""
"35257-82891","D","Michael","Michael McDowell","McDowell","36.15833282470703","12","4500","","","","","","","",""
"35257-82866","D","Ross","Ross Chastain","Chastain","45.6499989827474","12","4000","","","","","","","",""
"35257-82887","D","Corey","Corey LaJoie","LaJoie","45.35833231608073","12","3500","","","","","","","",""
"35257-102000","D","Matt","Matt Tifft","Tifft","41.85833231608073","12","3500","","","","","","","",""
"35257-82899","D","Reed","Reed Sorenson","Sorenson","38.4","5","3000","","","","","","","",""
"35257-102808","D","Bayley","Bayley Currey","Currey","46.650001525878906","4","3000","","","","","","","",""
"35257-102623","D","Tyler","Tyler Reddick","Reddick","35.54999923706055","2","3000","","","","","","","",""
"35257-82865","D","Landon","Landon Cassill","Cassill","40.56666564941406","12","3000","","","","","","","",""
"35257-102270","D","Quin","Quin Houff","Houff","41.54999923706055","4","3000","","","","","","","",""
"35257-82881","D","Timmy","Timmy Hill","Hill","25.100000381469727","2","2500","","","","","","","",""
"35257-101551","D","Jeb","Jeb Burton","Burton","35","2","2500","","","","","","","",""
"35257-82873","D","Joey","Joey Gase","Gase","26.299999237060547","4","2500","","","","","","","",""
