"Id","Position","First Name","Nickname","Last Name","FPPG","Raced","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"35636-82863","D","Kyle","Kyle Busch","Busch","66.52666829427083","15","15000","","","","","","","",""
"35636-82879","D","Kevin","Kevin Harvick","Harvick","58.77333170572917","15","14500","","","","","","","",""
"35636-82889","D","Joey","Joey Logano","Logano","64.76666666666667","15","14000","","","","","","","",""
"35636-82903","D","Martin","Martin Truex Jr.","Truex Jr.","62.1066650390625","15","13500","","","","","","","",""
"35636-82872","D","Chase","Chase Elliott","Elliott","61.960001627604164","15","13000","","","","","","","",""
"35636-82886","D","Brad","Brad Keselowski","Keselowski","61.36666666666667","15","12500","","","","","","","",""
"35636-82878","D","Denny","Denny Hamlin","Hamlin","57.35333251953125","15","12000","","","","","","","",""
"35636-82860","D","Clint","Clint Bowyer","Bowyer","55.6066650390625","15","11500","","","","","","","",""
"35636-82855","D","Aric","Aric Almirola","Almirola","53.060001627604166","15","11200","","","","","","","",""
"35636-82862","D","Kurt","Kurt Busch","Busch","63.93333333333333","15","11000","","","","","","","",""
"35636-82858","D","Ryan","Ryan Blaney","Blaney","51.6066650390625","15","10800","","","","","","","",""
"35636-82882","D","Jimmie","Jimmie Johnson","Johnson","54.72666829427083","15","10500","","","","","","","",""
"35636-82888","D","Kyle","Kyle Larson","Larson","51.57500076293945","16","10500","","","","","","","",""
"35636-82859","D","Alex","Alex Bowman","Bowman","53.91875076293945","16","10000","","","","","","","",""
"35636-82883","D","Erik","Erik Jones","Jones","54.026668294270834","15","9600","","","","","","","",""
"35636-82901","D","Daniel","Daniel Suarez","Suarez","56.31999918619792","15","9000","","","","","","","",""
"35636-82869","D","Austin","Austin Dillon","Dillon","53.026668294270834","15","8500","","","","","","","",""
"35636-82895","D","Ryan","Ryan Newman","Newman","54.95333251953125","15","8300","","","","","","","",""
"35636-82900","D","Ricky","Ricky Stenhouse Jr.","Stenhouse Jr.","51.15714372907366","14","8100","","","","","","","",""
"35636-82894","D","Paul","Paul Menard","Menard","51.94666748046875","15","7500","","","","","","","",""
"35636-82864","D","William","William Byron","Byron","49.939998372395834","15","7300","","","","","","","",""
"35636-82870","D","Ty","Ty Dillon","Dillon","52.792855398995535","14","6800","","","","","","","",""
"35636-82861","D","Chris","Chris Buescher","Buescher","49.550000871930806","14","6400","","","","","","","",""
"35636-82880","D","Daniel","Daniel Hemric","Hemric","42.885716029575896","14","6000","","","","","","","",""
"35636-82868","D","Matt","Matt DiBenedetto","DiBenedetto","47.942858014787944","14","6000","","","","","","","",""
"35636-101999","D","Ryan","Ryan Preece","Preece","49.778573172433035","14","5500","","","","","","","",""
"35636-82891","D","Michael","Michael McDowell","McDowell","36.75","14","5000","","","","","","","",""
"35636-82897","D","David","David Ragan","Ragan","45.028573172433035","14","5000","","","","","","","",""
"35636-82904","D","Bubba","Bubba Wallace","Wallace","41.539998372395836","15","4500","","","","","","","",""
"35636-82866","D","Ross","Ross Chastain","Chastain","43.300000871930806","14","4000","","","","","","","",""
"35636-84226","D","Parker","Parker Kligerman","Kligerman","43.03333536783854","6","3500","","","","","","","",""
"35636-82887","D","Corey","Corey LaJoie","LaJoie","44.92857142857143","14","3500","","","","","","","",""
"35636-102000","D","Matt","Matt Tifft","Tifft","42.07856968470982","14","3500","","","","","","","",""
"35636-82865","D","Landon","Landon Cassill","Cassill","39.542855398995535","14","3000","","","","","","","",""
"35636-82899","D","Reed","Reed Sorenson","Sorenson","36.86666615804037","6","2500","","","","","","","",""
"35636-82905","D","Cody","Cody Ware","Ware","29.009091463955965","11","2500","","","","","","","",""
"35636-102270","D","Quin","Quin Houff","Houff","38.166666666666664","6","2500","","","","","","","",""
"35636-82892","D","B.J.","B.J. McLeod","McLeod","29.600000381469727","8","2000","","","","","","","",""
"35636-82873","D","Joey","Joey Gase","Gase","26.183334350585938","6","2000","","","","","","","",""
