"Id","Position","First Name","Nickname","Last Name","FPPG","Raced","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"33477-82863","D","Kyle","Kyle Busch","Busch","59.29999796549479","6","14800","","","","","","","",""
"33477-82879","D","Kevin","Kevin Harvick","Harvick","54.383331298828125","6","14500","","","","","","","",""
"33477-82903","D","Martin","Martin Truex Jr.","Truex Jr.","50.46666463216146","6","13700","","","","","","","",""
"33477-82886","D","Brad","Brad Keselowski","Keselowski","52.04999796549479","6","13200","","","","","","","",""
"33477-82889","D","Joey","Joey Logano","Logano","59.23333231608073","6","12800","","","","","","","",""
"33477-82888","D","Kyle","Kyle Larson","Larson","55.21666463216146","6","12400","","","","","","","",""
"33477-82878","D","Denny","Denny Hamlin","Hamlin","54.04999796549479","6","11300","","","","","","","",""
"33477-82855","D","Aric","Aric Almirola","Almirola","53.01666768391927","6","11000","","","","","","","",""
"33477-82862","D","Kurt","Kurt Busch","Busch","57.883331298828125","6","10800","","","","","","","",""
"33477-82872","D","Chase","Chase Elliott","Elliott","48.866668701171875","6","10600","","","","","","","",""
"33477-82858","D","Ryan","Ryan Blaney","Blaney","47.5","6","10500","","","","","","","",""
"33477-82860","D","Clint","Clint Bowyer","Bowyer","51.06666564941406","6","10300","","","","","","","",""
"33477-82883","D","Erik","Erik Jones","Jones","47.95000203450521","6","9800","","","","","","","",""
"33477-82900","D","Ricky","Ricky Stenhouse Jr.","Stenhouse Jr.","53.84000244140625","5","8900","","","","","","","",""
"33477-82882","D","Jimmie","Jimmie Johnson","Johnson","50.43333435058594","6","8700","","","","","","","",""
"33477-82859","D","Alex","Alex Bowman","Bowman","40.583333333333336","6","8000","","","","","","","",""
"33477-82895","D","Ryan","Ryan Newman","Newman","49.21666463216146","6","7600","","","","","","","",""
"33477-82869","D","Austin","Austin Dillon","Dillon","43.333333333333336","6","7400","","","","","","","",""
"33477-82901","D","Daniel","Daniel Suarez","Suarez","43.633331298828125","6","7300","","","","","","","",""
"33477-82864","D","William","William Byron","Byron","42.23999938964844","5","7100","","","","","","","",""
"33477-82894","D","Paul","Paul Menard","Menard","44.25","6","7000","","","","","","","",""
"33477-82880","D","Daniel","Daniel Hemric","Hemric","38.07999877929687","5","6800","","","","","","","",""
"33477-82861","D","Chris","Chris Buescher","Buescher","48.57999877929687","5","6500","","","","","","","",""
"33477-82870","D","Ty","Ty Dillon","Dillon","48.220001220703125","5","6000","","","","","","","",""
"33477-82868","D","Matt","Matt DiBenedetto","DiBenedetto","42.4","5","5500","","","","","","","",""
"33477-82897","D","David","David Ragan","Ragan","40.279998779296875","5","5000","","","","","","","",""
"33477-101999","D","Ryan","Ryan Preece","Preece","38.63999938964844","5","5000","","","","","","","",""
"33477-82891","D","Michael","Michael McDowell","McDowell","31.439999389648438","5","4500","","","","","","","",""
"33477-82904","D","Bubba","Bubba Wallace","Wallace","38.13999938964844","5","4500","","","","","","","",""
"33477-82887","D","Corey","Corey LaJoie","LaJoie","42.13999938964844","5","4000","","","","","","","",""
"33477-102000","D","Matt","Matt Tifft","Tifft","37.36000061035156","5","4000","","","","","","","",""
"33477-82866","D","Ross","Ross Chastain","Chastain","43.57999877929687","5","4000","","","","","","","",""
"33477-82899","D","Reed","Reed Sorenson","Sorenson","30.700000762939453","1","3500","","","","","","","",""
"33477-82865","D","Landon","Landon Cassill","Cassill","35.26000061035156","5","3500","","","","","","","",""
"33477-82905","D","Cody","Cody Ware","Ware","30.479998779296874","5","3000","","","","","","","",""
"33477-82892","D","B.J.","B.J. McLeod","McLeod","36","4","2500","","","","","","","",""
"33477-82873","D","Joey","Joey Gase","Gase","15.100000381469727","2","2500","","","","","","","",""
