Id,Position,First Name,Nickname,Last Name,FPPG,Raced,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
32945-82879,D,Kevin,Kevin Harvick,Harvick,37.16666667,3,14000,,,,,,
32945-82863,D,Kyle,Kyle Busch,Busch,42.96666463,3,13500,,,,,,
32945-82889,D,Joey,Joey Logano,Logano,51.60000102,3,13200,,,,,,
32945-82886,D,Brad,Brad Keselowski,Keselowski,33.83333333,3,13000,,,,,,
32945-82903,D,Martin,Martin Truex Jr.,Truex Jr.,28.16666667,3,12500,,,,,,
32945-82872,D,Chase,Chase Elliott,Elliott,41.63333384,3,12200,,,,,,
32945-82878,D,Denny,Denny Hamlin,Hamlin,48.23333232,3,12000,,,,,,
32945-82888,D,Kyle,Kyle Larson,Larson,42.06666565,3,11000,,,,,,
32945-82860,D,Clint,Clint Bowyer,Bowyer,38.33333333,3,10800,,,,,,
32945-82858,D,Ryan,Ryan Blaney,Blaney,36.23333232,3,10500,,,,,,
32945-82855,D,Aric,Aric Almirola,Almirola,35.63333384,3,10000,,,,,,
32945-82862,D,Kurt,Kurt Busch,Busch,42.66666667,3,9600,,,,,,
32945-82882,D,Jimmie,Jimmie Johnson,Johnson,49.3666687,3,9000,,,,,,
32945-82883,D,Erik,Erik Jones,Jones,42.36666616,3,8800,,,,,,
32945-82859,D,Alex,Alex Bowman,Bowman,39.06666565,3,8300,,,,,,
32945-82900,D,Ricky,Ricky Stenhouse Jr.,Stenhouse Jr.,48.15000153,2,7600,,,,,,
32945-82869,D,Austin,Austin Dillon,Dillon,42.06666565,3,7300,,,,,,
32945-82864,D,William,William Byron,Byron,29.70000076,2,7000,,,,,,
32945-82901,D,Daniel,Daniel Suarez,Suarez,31.60000102,3,6800,,,,,,
32945-82894,D,Paul,Paul Menard,Menard,32.73333232,3,6400,,,,,,
32945-82895,D,Ryan,Ryan Newman,Newman,41.86666616,3,6200,,,,,,
32945-82861,D,Chris,Chris Buescher,Buescher,27.25,2,6000,,,,,,
32945-82904,D,Bubba,Bubba Wallace,Wallace,26.95000076,2,5500,,,,,,
32945-82870,D,Ty,Ty Dillon,Dillon,52.09999847,2,5500,,,,,,
32945-82880,D,Daniel,Daniel Hemric,Hemric,23.25,2,5000,,,,,,
32945-82891,D,Michael,Michael McDowell,McDowell,48.5,2,5000,,,,,,
32945-82897,D,David,David Ragan,Ragan,31.5,2,5000,,,,,,
32945-102000,D,Matt,Matt Tifft,Tifft,24.95000076,2,5000,,,,,,
32945-82868,D,Matt,Matt DiBenedetto,DiBenedetto,38.20000076,2,5000,,,,,,
32945-101999,D,Ryan,Ryan Preece,Preece,49.84999847,2,4500,,,,,,
32945-82865,D,Landon,Landon Cassill,Cassill,36.34999847,2,4500,,,,,,
32945-82887,D,Corey,Corey Lajoie,LaJoie,41.20000076,2,4000,,,,,,
32945-82866,D,Ross,Ross Chastain,Chastain,45.95000076,2,4000,,,,,,
32945-82892,D,B.J.,B.J. McLeod,McLeod,38.34999847,2,3500,,,,,,
32945-84226,D,Parker,Parker Kligerman,Kligerman,45,2,3000,,,,,,
32945-82905,D,Cody,Cody Ware,Ware,21.14999962,2,3000,,,,,,
32945-84454,D,Garrett,Garrett Smithley,Smithley,20.63333384,3,2500,,,,,,
