"Id","Position","First Name","Nickname","Last Name","FPPG","Raced","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"35447-82863","D","Kyle","Kyle Busch","Busch","67.86428397042411","14","14000","","","","","","","",""
"35447-82879","D","Kevin","Kevin Harvick","Harvick","59.214285714285715","14","13000","","","","","","","",""
"35447-82889","D","Joey","Joey Logano","Logano","65.77142769949776","14","12500","","","","","","","",""
"35447-82903","D","Martin","Martin Truex Jr.","Truex Jr.","63.878570556640625","14","12000","","","","","","","",""
"35447-82886","D","Brad","Brad Keselowski","Keselowski","62.84285627092634","14","11500","","","","","","","",""
"35447-82872","D","Chase","Chase Elliott","Elliott","63.92143031529018","14","10500","","","","","","","",""
"35447-82878","D","Denny","Denny Hamlin","Hamlin","59.457144601004465","14","10000","","","","","","","",""
"35447-82860","D","Clint","Clint Bowyer","Bowyer","57.25","14","9500","","","","","","","",""
"35447-82862","D","Kurt","Kurt Busch","Busch","66.26428658621651","14","9000","","","","","","","",""
"35447-82858","D","Ryan","Ryan Blaney","Blaney","53.128570556640625","14","8500","","","","","","","",""
"35447-82855","D","Aric","Aric Almirola","Almirola","53.471426827566965","14","7500","","","","","","","",""
"35447-82882","D","Jimmie","Jimmie Johnson","Johnson","56.399998256138396","14","7000","","","","","","","",""
"35447-82883","D","Erik","Erik Jones","Jones","56.192858014787944","14","6000","","","","","","","",""
"35447-82869","D","Austin","Austin Dillon","Dillon","53.864283970424104","14","5500","","","","","","","",""
"35447-82895","D","Ryan","Ryan Newman","Newman","56.5","14","5000","","","","","","","",""
