"Id","Position","First Name","Nickname","Last Name","FPPG","Raced","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"34822-82863","D","Kyle","Kyle Busch","Busch","71.80909312855114","11","14000","","","","","","","",""
"34822-82889","D","Joey","Joey Logano","Logano","65.8818192915483","11","13500","","","","","","","",""
"34822-82886","D","Brad","Brad Keselowski","Keselowski","62.77272727272727","11","13200","","","","","","","",""
"34822-82879","D","Kevin","Kevin Harvick","Harvick","63.34545343572443","11","13000","","","","","","","",""
"34822-82878","D","Denny","Denny Hamlin","Hamlin","65.74545565518466","11","12800","","","","","","","",""
"34822-82855","D","Aric","Aric Almirola","Almirola","51.96363414417613","11","12500","","","","","","","",""
"34822-82872","D","Chase","Chase Elliott","Elliott","59.30909312855113","11","12000","","","","","","","",""
"34822-82858","D","Ryan","Ryan Blaney","Blaney","55.7090897993608","11","11600","","","","","","","",""
"34822-82860","D","Clint","Clint Bowyer","Bowyer","59","11","11400","","","","","","","",""
"34822-82862","D","Kurt","Kurt Busch","Busch","66.92727383700284","11","11200","","","","","","","",""
"34822-82903","D","Martin","Martin Truex Jr.","Truex Jr.","63.2909102006392","11","11000","","","","","","","",""
"34822-82900","D","Ricky","Ricky Stenhouse Jr.","Stenhouse Jr.","54.24000244140625","10","10500","","","","","","","",""
"34822-82901","D","Daniel","Daniel Suarez","Suarez","56.90909090909091","11","10000","","","","","","","",""
"34822-82882","D","Jimmie","Jimmie Johnson","Johnson","58.03636585582387","11","9500","","","","","","","",""
"34822-82888","D","Kyle","Kyle Larson","Larson","48.21818403764205","11","9000","","","","","","","",""
"34822-82883","D","Erik","Erik Jones","Jones","54.12727494673295","11","8500","","","","","","","",""
"34822-82869","D","Austin","Austin Dillon","Dillon","54.95454545454545","11","8300","","","","","","","",""
"34822-82894","D","Paul","Paul Menard","Menard","54.02727161754262","11","7800","","","","","","","",""
"34822-82859","D","Alex","Alex Bowman","Bowman","49.6727294921875","11","7500","","","","","","","",""
"34822-82895","D","Ryan","Ryan Newman","Newman","56.59090909090909","11","7300","","","","","","","",""
"34822-82864","D","William","William Byron","Byron","53.97999877929688","10","7200","","","","","","","",""
"34822-82868","D","Matt","Matt DiBenedetto","DiBenedetto","51.59000244140625","10","7000","","","","","","","",""
"34822-82870","D","Ty","Ty Dillon","Dillon","54.09000244140625","10","6500","","","","","","","",""
"34822-82861","D","Chris","Chris Buescher","Buescher","52.77000122070312","10","6200","","","","","","","",""
"34822-101999","D","Ryan","Ryan Preece","Preece","48.879998779296876","10","6000","","","","","","","",""
"34822-82880","D","Daniel","Daniel Hemric","Hemric","42","10","5500","","","","","","","",""
"34822-82897","D","David","David Ragan","Ragan","46.529998779296875","10","5000","","","","","","","",""
"34822-82874","D","Brendan","Brendan Gaughan","Gaughan","36.900001525878906","2","5000","","","","","","","",""
"34822-82904","D","Bubba","Bubba Wallace","Wallace","46.779998779296875","10","4500","","","","","","","",""
"34822-102000","D","Matt","Matt Tifft","Tifft","45.9","10","4500","","","","","","","",""
"34822-82891","D","Michael","Michael McDowell","McDowell","38.82999877929687","10","4000","","","","","","","",""
"34822-82865","D","Landon","Landon Cassill","Cassill","41.65","10","4000","","","","","","","",""
"34822-82866","D","Ross","Ross Chastain","Chastain","45.629998779296876","10","4000","","","","","","","",""
"34822-84226","D","Parker","Parker Kligerman","Kligerman","44.320001220703126","5","3500","","","","","","","",""
"34822-82871","D","Jeffrey","Jeffrey Earnhardt","Earnhardt","35.383334689670136","18","3500","","","","","","","",""
"34822-82887","D","Corey","Corey LaJoie","LaJoie","43.22999877929688","10","3000","","","","","","","",""
"34822-82899","D","Reed","Reed Sorenson","Sorenson","32.699999491373696","3","3000","","","","","","","",""
"34822-82905","D","Cody","Cody Ware","Ware","27.228572300502233","7","2500","","","","","","","",""
"34822-101297","D","Stanton","Stanton Barrett","Barrett","1.600000023841858","1","2500","","","","","","","",""
