Id,Position,First Name,Nickname,Last Name,FPPG,Raced,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
35037-82863,D,Kyle,Kyle Busch,Busch,70.5083313,12,15000,,,,,,
35037-82889,D,Joey,Joey Logano,Logano,65.51666768,12,14500,,,,,,
35037-82879,D,Kevin,Kevin Harvick,Harvick,57.6166687,12,14000,,,,,,
35037-82886,D,Brad,Brad Keselowski,Keselowski,61.14999898,12,13500,,,,,,
35037-82903,D,Martin,Martin Truex Jr.,Truex Jr.,61.42499797,12,13200,,,,,,
35037-82872,D,Chase,Chase Elliott,Elliott,60.29999797,12,13000,,,,,,
35037-82878,D,Denny,Denny Hamlin,Hamlin,60.80833435,12,12500,,,,,,
35037-82860,D,Clint,Clint Bowyer,Bowyer,55.51666768,12,12000,,,,,,
35037-82862,D,Kurt,Kurt Busch,Busch,66.16666667,12,11800,,,,,,
35037-82855,D,Aric,Aric Almirola,Almirola,51.79999797,12,11700,,,,,,
35037-82858,D,Ryan,Ryan Blaney,Blaney,54.5,12,11200,,,,,,
35037-82888,D,Kyle,Kyle Larson,Larson,46.60000102,12,10600,,,,,,
35037-82882,D,Jimmie,Jimmie Johnson,Johnson,54.85000102,12,10000,,,,,,
35037-82901,D,Daniel,Daniel Suarez,Suarez,56.31666565,12,9600,,,,,,
35037-82883,D,Erik,Erik Jones,Jones,53.3833313,12,9100,,,,,,
35037-82869,D,Austin,Austin Dillon,Dillon,53.65833537,12,8500,,,,,,
35037-82900,D,Ricky,Ricky Stenhouse Jr.,Stenhouse Jr.,51.74545566,11,8300,,,,,,
35037-82895,D,Ryan,Ryan Newman,Newman,56.98333232,12,8100,,,,,,
35037-82859,D,Alex,Alex Bowman,Bowman,50.79166667,12,7800,,,,,,
35037-82894,D,Paul,Paul Menard,Menard,53.21666463,12,7400,,,,,,
35037-82864,D,William,William Byron,Byron,52.78181596,11,7300,,,,,,
35037-82870,D,Ty,Ty Dillon,Dillon,52.94545676,11,7000,,,,,,
35037-82861,D,Chris,Chris Buescher,Buescher,50.66363525,11,6800,,,,,,
35037-82868,D,Matt,Matt DiBenedetto,DiBenedetto,49.23636142,11,6500,,,,,,
35037-101999,D,Ryan,Ryan Preece,Preece,50.82727051,11,6200,,,,,,
35037-82880,D,Daniel,Daniel Hemric,Hemric,43.16363525,11,6000,,,,,,
35037-82904,D,Bubba,Bubba Wallace,Wallace,42.29999889,11,5500,,,,,,
35037-82897,D,David,David Ragan,Ragan,45.27272727,11,5000,,,,,,
35037-82891,D,Michael,Michael McDowell,McDowell,34.2090898,11,4500,,,,,,
35037-102000,D,Matt,Matt Tifft,Tifft,41.32727328,11,4000,,,,,,
35037-82866,D,Ross,Ross Chastain,Chastain,44.99090854,11,4000,,,,,,
35037-82887,D,Corey,Corey LaJoie,LaJoie,44.87272783,11,3500,,,,,,
35037-82865,D,Landon,Landon Cassill,Cassill,39.80909035,11,3500,,,,,,
35037-82899,D,Reed,Reed Sorenson,Sorenson,37.34999847,4,3000,,,,,,
35037-82905,D,Cody,Cody Ware,Ware,28.5,8,2500,,,,,,
35037-102270,D,Quin,Quin Houff,Houff,48.29999797,3,2500,,,,,,
