Id,Position,First Name,Nickname,Last Name,FPPG,Raced,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
33306-82879,D,Kevin,Kevin Harvick,Harvick,52.72000122,5,14500,,,,,,
33306-82863,D,Kyle,Kyle Busch,Busch,52.47999878,5,14200,,,,,,
33306-82886,D,Brad,Brad Keselowski,Keselowski,53.24000244,5,13500,,,,,,
33306-82903,D,Martin,Martin Truex Jr.,Truex Jr.,45.62000122,5,13200,,,,,,
33306-82889,D,Joey,Joey Logano,Logano,58.44000244,5,12500,,,,,,
33306-82878,D,Denny,Denny Hamlin,Hamlin,51.47999878,5,12000,,,,,,
33306-82872,D,Chase,Chase Elliott,Elliott,48.2,5,11500,,,,,,
33306-82888,D,Kyle,Kyle Larson,Larson,50.52000122,5,11000,,,,,,
33306-82855,D,Aric,Aric Almirola,Almirola,48.46000061,5,10800,,,,,,
33306-82860,D,Clint,Clint Bowyer,Bowyer,47.53999939,5,10600,,,,,,
33306-82883,D,Erik,Erik Jones,Jones,50.96000061,5,10400,,,,,,
33306-82862,D,Kurt,Kurt Busch,Busch,55.52000122,5,10000,,,,,,
33306-82858,D,Ryan,Ryan Blaney,Blaney,41.46000061,5,9500,,,,,,
33306-82900,D,Ricky,Ricky Stenhouse Jr.,Stenhouse Jr.,51.75,4,8700,,,,,,
33306-82895,D,Ryan,Ryan Newman,Newman,46.42000122,5,8200,,,,,,
33306-82882,D,Jimmie,Jimmie Johnson,Johnson,46.9,5,8100,,,,,,
33306-82869,D,Austin,Austin Dillon,Dillon,42.57999878,5,8000,,,,,,
33306-82859,D,Alex,Alex Bowman,Bowman,46.57999878,5,7500,,,,,,
33306-82901,D,Daniel,Daniel Suarez,Suarez,42.03999939,5,7400,,,,,,
33306-82880,D,Daniel,Daniel Hemric,Hemric,34.84999847,4,7300,,,,,,
33306-82894,D,Paul,Paul Menard,Menard,42.07999878,5,7200,,,,,,
33306-82864,D,William,William Byron,Byron,42.92499924,4,7100,,,,,,
33306-82870,D,Ty,Ty Dillon,Dillon,45.34999847,4,6500,,,,,,
33306-82861,D,Chris,Chris Buescher,Buescher,45.92499924,4,6000,,,,,,
33306-82868,D,Matt,Matt DiBenedetto,DiBenedetto,42.42499924,4,5500,,,,,,
33306-82891,D,Michael,Michael McDowell,McDowell,35.25,4,5000,,,,,,
33306-82897,D,David,David Ragan,Ragan,38.09999847,4,5000,,,,,,
33306-101999,D,Ryan,Ryan Preece,Preece,42.45000076,4,5000,,,,,,
33306-82904,D,Bubba,Bubba Wallace,Wallace,35.02500153,4,4500,,,,,,
33306-82865,D,Landon,Landon Cassill,Cassill,35.52500153,4,4000,,,,,,
33306-102000,D,Matt,Matt Tifft,Tifft,32.42499924,4,4000,,,,,,
33306-82866,D,Ross,Ross Chastain,Chastain,42.52500153,4,3500,,,,,,
33306-82887,D,Corey,Corey LaJoie,LaJoie,41.42499924,4,3000,,,,,,
33306-82892,D,B.J.,B.J. McLeod,McLeod,36,4,3000,,,,,,
33306-82905,D,Cody,Cody Ware,Ware,28.10000038,4,2500,,,,,,
33306-102270,D,Quin,Quin Houff,Houff,0,0,2500,,,,,,
