Id,Position,First Name,Nickname,Last Name,FPPG,Raced,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
33698-82863,D,Kyle,Kyle Busch,Busch,61.9571446,7,14900,,,,,,
33698-82889,D,Joey,Joey Logano,Logano,59.60000174,7,14000,,,,,,
33698-82886,D,Brad,Brad Keselowski,Keselowski,54.21428571,7,13700,,,,,,
33698-82903,D,Martin,Martin Truex Jr.,Truex Jr.,52.18571254,7,13500,,,,,,
33698-82878,D,Denny,Denny Hamlin,Hamlin,54.08571516,7,13000,,,,,,
33698-82879,D,Kevin,Kevin Harvick,Harvick,54.61428397,7,12500,,,,,,
33698-82872,D,Chase,Chase Elliott,Elliott,48.81428746,7,11900,,,,,,
33698-82860,D,Clint,Clint Bowyer,Bowyer,43.98571341,7,11700,,,,,,
33698-82858,D,Ryan,Ryan Blaney,Blaney,49.10000174,7,11600,,,,,,
33698-82862,D,Kurt,Kurt Busch,Busch,58.5428554,7,11300,,,,,,
33698-82855,D,Aric,Aric Almirola,Almirola,52.5428554,7,10800,,,,,,
33698-82882,D,Jimmie,Jimmie Johnson,Johnson,49.08571516,7,9900,,,,,,
33698-82888,D,Kyle,Kyle Larson,Larson,54.5428554,7,9700,,,,,,
33698-82883,D,Erik,Erik Jones,Jones,47.02857317,7,9600,,,,,,
33698-82895,D,Ryan,Ryan Newman,Newman,46.67143032,7,8900,,,,,,
33698-82859,D,Alex,Alex Bowman,Bowman,40.64285714,7,8600,,,,,,
33698-82901,D,Daniel,Daniel Suarez,Suarez,44.75714111,7,8300,,,,,,
33698-82869,D,Austin,Austin Dillon,Dillon,43.80000087,7,7700,,,,,,
33698-82894,D,Paul,Paul Menard,Menard,44.14285714,7,7300,,,,,,
33698-82900,D,Ricky,Ricky Stenhouse Jr.,Stenhouse Jr.,52.54999797,6,7100,,,,,,
33698-82864,D,William,William Byron,Byron,43.5,6,7000,,,,,,
33698-82880,D,Daniel,Daniel Hemric,Hemric,34.93333435,6,6500,,,,,,
33698-82861,D,Chris,Chris Buescher,Buescher,47.81666565,6,6000,,,,,,
33698-82868,D,Matt,Matt DiBenedetto,DiBenedetto,43,6,6000,,,,,,
33698-82870,D,Ty,Ty Dillon,Dillon,44.8833313,6,5500,,,,,,
33698-82897,D,David,David Ragan,Ragan,39.03333282,6,5000,,,,,,
33698-82891,D,Michael,Michael McDowell,McDowell,32.75,6,4500,,,,,,
33698-82904,D,Bubba,Bubba Wallace,Wallace,36.68333435,6,4500,,,,,,
33698-101999,D,Ryan,Ryan Preece,Preece,38.76666768,6,4500,,,,,,
33698-82865,D,Landon,Landon Cassill,Cassill,34.96666718,6,4000,,,,,,
33698-102000,D,Matt,Matt Tifft,Tifft,37.41666667,6,3500,,,,,,
33698-82866,D,Ross,Ross Chastain,Chastain,41.98333232,6,3500,,,,,,
33698-82885,D,D.J.,D.J. Kennington,Kennington,46.5,10,3000,,,,,,
33698-82887,D,Corey,Corey LaJoie,LaJoie,39.91666667,6,3000,,,,,,
33698-82905,D,Cody,Cody Ware,Ware,30.26666768,6,2500,,,,,,
