"Id","Position","First Name","Nickname","Last Name","FPPG","Raced","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"34371-82863","D","Kyle","Kyle Busch","Busch","70.87999877929687","10","15300","","","","","","","",""
"34371-82889","D","Joey","Joey Logano","Logano","63.9","10","14000","","","","","","","",""
"34371-82879","D","Kevin","Kevin Harvick","Harvick","61.820001220703126","10","14000","","","","","","","",""
"34371-82886","D","Brad","Brad Keselowski","Keselowski","61.29000244140625","10","13500","","","","","","","",""
"34371-82903","D","Martin","Martin Truex Jr.","Truex Jr.","59.25999755859375","10","12700","","","","","","","",""
"34371-82878","D","Denny","Denny Hamlin","Hamlin","63.470001220703125","10","12500","","","","","","","",""
"34371-82888","D","Kyle","Kyle Larson","Larson","52.74000244140625","10","12300","","","","","","","",""
"34371-82872","D","Chase","Chase Elliott","Elliott","57.79000244140625","10","12000","","","","","","","",""
"34371-82862","D","Kurt","Kurt Busch","Busch","67.07000122070312","10","11500","","","","","","","",""
"34371-82858","D","Ryan","Ryan Blaney","Blaney","55.85","10","11200","","","","","","","",""
"34371-82860","D","Clint","Clint Bowyer","Bowyer","56.55","10","10800","","","","","","","",""
"34371-82855","D","Aric","Aric Almirola","Almirola","50.97999877929688","10","10200","","","","","","","",""
"34371-82882","D","Jimmie","Jimmie Johnson","Johnson","55.84000244140625","10","10000","","","","","","","",""
"34371-82883","D","Erik","Erik Jones","Jones","51.79000244140625","10","9800","","","","","","","",""
"34371-82901","D","Daniel","Daniel Suarez","Suarez","55.55999755859375","10","9200","","","","","","","",""
"34371-82869","D","Austin","Austin Dillon","Dillon","52.95","10","8900","","","","","","","",""
"34371-82900","D","Ricky","Ricky Stenhouse Jr.","Stenhouse Jr.","53.32222154405382","9","8500","","","","","","","",""
"34371-82859","D","Alex","Alex Bowman","Bowman","48.5","10","7800","","","","","","","",""
"34371-82895","D","Ryan","Ryan Newman","Newman","54.3","10","7500","","","","","","","",""
"34371-82864","D","William","William Byron","Byron","52.422220865885414","9","7200","","","","","","","",""
"34371-82894","D","Paul","Paul Menard","Menard","52.379998779296876","10","6700","","","","","","","",""
"34371-82868","D","Matt","Matt DiBenedetto","DiBenedetto","51.23333401150174","9","6500","","","","","","","",""
"34371-82861","D","Chris","Chris Buescher","Buescher","52.93333265516493","9","6300","","","","","","","",""
"34371-82870","D","Ty","Ty Dillon","Dillon","53.344445122612846","9","6000","","","","","","","",""
"34371-82880","D","Daniel","Daniel Hemric","Hemric","39.900000678168404","9","5500","","","","","","","",""
"34371-101999","D","Ryan","Ryan Preece","Preece","47.76666598849826","9","5500","","","","","","","",""
"34371-82897","D","David","David Ragan","Ragan","46.577779134114586","9","4500","","","","","","","",""
"34371-82904","D","Bubba","Bubba Wallace","Wallace","46.46666802300347","9","4500","","","","","","","",""
"34371-82891","D","Michael","Michael McDowell","McDowell","40.922220865885414","9","4000","","","","","","","",""
"34371-102000","D","Matt","Matt Tifft","Tifft","44.888888888888886","9","4000","","","","","","","",""
"34371-82866","D","Ross","Ross Chastain","Chastain","45.155554877387154","9","4000","","","","","","","",""
"34371-82865","D","Landon","Landon Cassill","Cassill","42.588887532552086","9","3500","","","","","","","",""
"34371-102270","D","Quin","Quin Houff","Houff","51.150001525878906","2","3500","","","","","","","",""
"34371-82887","D","Corey","Corey LaJoie","LaJoie","42.24444580078125","9","3000","","","","","","","",""
"34371-102808","D","Bayley","Bayley Currey","Currey","47.133331298828125","3","3000","","","","","","","",""
"34371-82905","D","Cody","Cody Ware","Ware","27.228572300502233","7","2500","","","","","","","",""
"34371-82873","D","Joey","Joey Gase","Gase","18.833333333333332","3","2500","","","","","","","",""
