"Id","Position","First Name","Nickname","Last Name","FPPG","Raced","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"33897-82863","D","Kyle","Kyle Busch","Busch","65.8375015258789","8","15000","","","","","","","",""
"33897-82886","D","Brad","Brad Keselowski","Keselowski","64.76249694824219","8","14000","","","","","","","",""
"33897-82879","D","Kevin","Kevin Harvick","Harvick","58.287498474121094","8","14000","","","","","","","",""
"33897-82889","D","Joey","Joey Logano","Logano","60.099998474121094","8","13500","","","","","","","",""
"33897-82903","D","Martin","Martin Truex Jr.","Truex Jr.","56.037498474121094","8","13200","","","","","","","",""
"33897-82858","D","Ryan","Ryan Blaney","Blaney","54.650001525878906","8","12500","","","","","","","",""
"33897-82888","D","Kyle","Kyle Larson","Larson","56.099998474121094","8","12000","","","","","","","",""
"33897-82878","D","Denny","Denny Hamlin","Hamlin","58.07500076293945","8","11500","","","","","","","",""
"33897-82872","D","Chase","Chase Elliott","Elliott","54.88750076293945","8","11300","","","","","","","",""
"33897-82862","D","Kurt","Kurt Busch","Busch","61.537498474121094","8","11000","","","","","","","",""
"33897-82860","D","Clint","Clint Bowyer","Bowyer","49.17499923706055","8","10800","","","","","","","",""
"33897-82855","D","Aric","Aric Almirola","Almirola","55.787498474121094","8","10500","","","","","","","",""
"33897-82883","D","Erik","Erik Jones","Jones","47.912498474121094","8","10200","","","","","","","",""
"33897-82882","D","Jimmie","Jimmie Johnson","Johnson","50.48749923706055","8","9300","","","","","","","",""
"33897-82869","D","Austin","Austin Dillon","Dillon","49.45000076293945","8","9000","","","","","","","",""
"33897-82900","D","Ricky","Ricky Stenhouse Jr.","Stenhouse Jr.","54.371429443359375","7","8400","","","","","","","",""
"33897-82859","D","Alex","Alex Bowman","Bowman","45.3125","8","8200","","","","","","","",""
"33897-82901","D","Daniel","Daniel Suarez","Suarez","49.224998474121094","8","8100","","","","","","","",""
"33897-82895","D","Ryan","Ryan Newman","Newman","49.13750076293945","8","7600","","","","","","","",""
"33897-82864","D","William","William Byron","Byron","47.98571341378348","7","7400","","","","","","","",""
"33897-82894","D","Paul","Paul Menard","Menard","48.0625","8","7000","","","","","","","",""
"33897-82861","D","Chris","Chris Buescher","Buescher","50.32856968470982","7","6500","","","","","","","",""
"33897-82880","D","Daniel","Daniel Hemric","Hemric","39.100001743861604","7","6000","","","","","","","",""
"33897-82868","D","Matt","Matt DiBenedetto","DiBenedetto","47.07142857142857","7","6000","","","","","","","",""
"33897-101999","D","Ryan","Ryan Preece","Preece","43.871429443359375","7","5500","","","","","","","",""
"33897-82870","D","Ty","Ty Dillon","Dillon","50.25714111328125","7","5000","","","","","","","",""
"33897-82897","D","David","David Ragan","Ragan","42.614283970424104","7","4500","","","","","","","",""
"33897-82904","D","Bubba","Bubba Wallace","Wallace","42.65714372907366","7","4500","","","","","","","",""
"33897-82891","D","Michael","Michael McDowell","McDowell","35.942858014787944","7","4000","","","","","","","",""
"33897-102000","D","Matt","Matt Tifft","Tifft","40.98571341378348","7","4000","","","","","","","",""
"33897-82866","D","Ross","Ross Chastain","Chastain","41.91428484235491","7","4000","","","","","","","",""
"33897-84226","D","Parker","Parker Kligerman","Kligerman","42.900001525878906","4","3500","","","","","","","",""
"33897-82887","D","Corey","Corey LaJoie","LaJoie","42.27142769949777","7","3500","","","","","","","",""
"33897-82865","D","Landon","Landon Cassill","Cassill","38.81428745814732","7","3500","","","","","","","",""
"33897-82899","D","Reed","Reed Sorenson","Sorenson","28.700000762939453","2","3000","","","","","","","",""
"33897-82881","D","Timmy","Timmy Hill","Hill","26.436362526633523","22","2500","","","","","","","",""
"33897-82905","D","Cody","Cody Ware","Ware","27.228572300502233","7","2500","","","","","","","",""
"33897-84454","D","Garrett","Garrett Smithley","Smithley","27.100000381469727","2","2500","","","","","","","",""
"33897-82892","D","B.J.","B.J. McLeod","McLeod","32.939999389648435","5","2000","","","","","","","",""
