Id,Position,First Name,Nickname,Last Name,FPPG,Raced,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
33121-82879,D,Kevin,Kevin Harvick,Harvick,48.125,4,14500,,,,,,
33121-82886,D,Brad,Brad Keselowski,Keselowski,47.32500076,4,14000,,,,,,
33121-82903,D,Martin,Martin Truex Jr.,Truex Jr.,40.22499847,4,13500,,,,,,
33121-82863,D,Kyle,Kyle Busch,Busch,49.09999847,4,13200,,,,,,
33121-82889,D,Joey,Joey Logano,Logano,52.34999847,4,13000,,,,,,
33121-82888,D,Kyle,Kyle Larson,Larson,49.84999847,4,12800,,,,,,
33121-82858,D,Ryan,Ryan Blaney,Blaney,41.54999924,4,12000,,,,,,
33121-82878,D,Denny,Denny Hamlin,Hamlin,50.92499924,4,11500,,,,,,
33121-82872,D,Chase,Chase Elliott,Elliott,45.20000076,4,11000,,,,,,
33121-82860,D,Clint,Clint Bowyer,Bowyer,45.625,4,10500,,,,,,
33121-82855,D,Aric,Aric Almirola,Almirola,43.15000153,4,10000,,,,,,
33121-82862,D,Kurt,Kurt Busch,Busch,50.27500153,4,9600,,,,,,
33121-82883,D,Erik,Erik Jones,Jones,49.40000153,4,9100,,,,,,
33121-82882,D,Jimmie,Jimmie Johnson,Johnson,47.72499847,4,8700,,,,,,
33121-82895,D,Ryan,Ryan Newman,Newman,46.52500153,4,8400,,,,,,
33121-82901,D,Daniel,Daniel Suarez,Suarez,38.95000076,4,8000,,,,,,
33121-82900,D,Ricky,Ricky Stenhouse Jr.,Stenhouse Jr.,47.93333435,3,7800,,,,,,
33121-82894,D,Paul,Paul Menard,Menard,39.42499924,4,7500,,,,,,
33121-82869,D,Austin,Austin Dillon,Dillon,43.27500153,4,7400,,,,,,
33121-82859,D,Alex,Alex Bowman,Bowman,44.04999924,4,7200,,,,,,
33121-82864,D,William,William Byron,Byron,38.63333384,3,7100,,,,,,
33121-82880,D,Daniel,Daniel Hemric,Hemric,34.63333384,3,7000,,,,,,
33121-82868,D,Matt,Matt DiBenedetto,DiBenedetto,40.19999949,3,6300,,,,,,
33121-82861,D,Chris,Chris Buescher,Buescher,43.16666667,3,6000,,,,,,
33121-82870,D,Ty,Ty Dillon,Dillon,50.16666667,3,5500,,,,,,
33121-82891,D,Michael,Michael McDowell,McDowell,36.89999898,3,5000,,,,,,
33121-82897,D,David,David Ragan,Ragan,41.33333333,3,5000,,,,,,
33121-101999,D,Ryan,Ryan Preece,Preece,42.60000102,3,5000,,,,,,
33121-82904,D,Bubba,Bubba Wallace,Wallace,33.69999949,3,4500,,,,,,
33121-102000,D,Matt,Matt Tifft,Tifft,32.10000102,3,4000,,,,,,
33121-84226,D,Parker,Parker Kligerman,Kligerman,44.93333435,3,3500,,,,,,
33121-82865,D,Landon,Landon Cassill,Cassill,35.86666616,3,3500,,,,,,
33121-82866,D,Ross,Ross Chastain,Chastain,44.56666565,3,3500,,,,,,
33121-82887,D,Corey,Corey LaJoie,LaJoie,41.26666768,3,3000,,,,,,
33121-82892,D,B.J.,B.J. McLeod,McLeod,39.83333333,3,3000,,,,,,
33121-82899,D,Reed,Reed Sorenson,Sorenson,32.68000081,15,3000,,,,,,
33121-82873,D,Joey,Joey Gase,Gase,27.20000076,1,3000,,,,,,
33121-82905,D,Cody,Cody Ware,Ware,27.36666616,3,2500,,,,,,
