Id,Position,First Name,Nickname,Last Name,FPPG,Raced,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
32652-82889,D,Joey,Joey Logano,Logano,59.02564103,39,12500,,,,,,
32652-82886,D,Brad,Brad Keselowski,Keselowski,53.88974234,39,12200,,,,,,
32652-82879,D,Kevin,Kevin Harvick,Harvick,63.98684211,38,11500,,,,,,
32652-82878,D,Denny,Denny Hamlin,Hamlin,55.14737099,38,11200,,,,,,
32652-82872,D,Chase,Chase Elliott,Elliott,55.42051032,39,11000,,,,,,
32652-82858,D,Ryan,Ryan Blaney,Blaney,50.93333396,39,10700,,,,,,
32652-82863,D,Kyle,Kyle Busch,Busch,63.43421053,38,10200,,,,,,
32652-82862,D,Kurt,Kurt Busch,Busch,55.22820262,39,10000,,,,,,
32652-82859,D,Alex,Alex Bowman,Bowman,47.48717949,39,9700,,,,,,
32652-82903,D,Martin,Martin Truex Jr.,Truex Jr.,58.28947368,38,9500,,,,,,
32652-82855,D,Aric,Aric Almirola,Almirola,56.03947368,38,9300,,,,,,
32652-82860,D,Clint,Clint Bowyer,Bowyer,55.02432498,37,9100,,,,,,
32652-82869,D,Austin,Austin Dillon,Dillon,51.06578947,38,8800,,,,,,
32652-82888,D,Kyle,Kyle Larson,Larson,56.91315661,38,8500,,,,,,
32652-82882,D,Jimmie,Jimmie Johnson,Johnson,50.74615322,39,8200,,,,,,
32652-82894,D,Paul,Paul Menard,Menard,46.14594661,37,7800,,,,,,
32652-82883,D,Erik,Erik Jones,Jones,52.0736855,38,7400,,,,,,
32652-82901,D,Daniel,Daniel Suarez,Suarez,47.81794934,39,7000,,,,,,
32652-82895,D,Ryan,Ryan Newman,Newman,49.62051157,39,6700,,,,,,
32652-82893,D,Jamie,Jamie McMurray,McMurray,47.52307755,39,5700,,,,,,
