D,D,D,D,D,D,,Instructions
,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,D,Brad Keselowski (11434951),Brad Keselowski,11434951,D,11100,1000Bulbs.com 500,Nasca,36.64
,,,,,,,D,Joey Logano (11434952),Joey Logano,11434952,D,10700,1000Bulbs.com 500,Nasca,38.34
,,,,,,,D,Chase Elliott (11434953),Chase Elliott,11434953,D,10300,1000Bulbs.com 500,Nasca,38.18
,,,,,,,D,Kevin Harvick (11434954),Kevin Harvick,11434954,D,10100,1000Bulbs.com 500,Nasca,67.18
,,,,,,,D,Denny Hamlin (11434955),Denny Hamlin,11434955,D,10000,1000Bulbs.com 500,Nasca,37.37
,,,,,,,D,Kurt Busch (11434956),Kurt Busch,11434956,D,9800,1000Bulbs.com 500,Nasca,39.41
,,,,,,,D,Ryan Blaney (11434957),Ryan Blaney,11434957,D,9600,1000Bulbs.com 500,Nasca,35.78
,,,,,,,D,Kyle Busch (11434958),Kyle Busch,11434958,D,9400,1000Bulbs.com 500,Nasca,61.78
,,,,,,,D,Clint Bowyer (11434959),Clint Bowyer,11434959,D,9200,1000Bulbs.com 500,Nasca,43.16
,,,,,,,D,Ricky Stenhouse Jr (11434960),Ricky Stenhouse Jr,11434960,D,9000,1000Bulbs.com 500,Nasca,24.67
,,,,,,,D,Aric Almirola (11434961),Aric Almirola,11434961,D,8800,1000Bulbs.com 500,Nasca,38.89
,,,,,,,D,Alex Bowman (11434962),Alex Bowman,11434962,D,8600,1000Bulbs.com 500,Nasca,28.23
,,,,,,,D,Martin Truex Jr (11434963),Martin Truex Jr,11434963,D,8400,1000Bulbs.com 500,Nasca,48.58
,,,,,,,D,Erik Jones (11434964),Erik Jones,11434964,D,8300,1000Bulbs.com 500,Nasca,30.69
,,,,,,,D,Jimmie Johnson (11434965),Jimmie Johnson,11434965,D,8200,1000Bulbs.com 500,Nasca,30.63
,,,,,,,D,Kyle Larson (11434966),Kyle Larson,11434966,D,8000,1000Bulbs.com 500,Nasca,40.98
,,,,,,,D,Paul Menard (11434967),Paul Menard,11434967,D,7800,1000Bulbs.com 500,Nasca,26.23
,,,,,,,D,Austin Dillon (11434968),Austin Dillon,11434968,D,7600,1000Bulbs.com 500,Nasca,28.61
,,,,,,,D,Daniel Suarez (11434969),Daniel Suarez,11434969,D,7400,1000Bulbs.com 500,Nasca,31.36
,,,,,,,D,Jamie McMurray (11434970),Jamie McMurray,11434970,D,7200,1000Bulbs.com 500,Nasca,23.16
,,,,,,,D,Ryan Newman (11434971),Ryan Newman,11434971,D,7100,1000Bulbs.com 500,Nasca,26.62
,,,,,,,D,Bubba Wallace (11434972),Bubba Wallace,11434972,D,6900,1000Bulbs.com 500,Nasca,21
,,,,,,,D,William Byron (11434973),William Byron,11434973,D,6800,1000Bulbs.com 500,Nasca,22.55
,,,,,,,D,Trevor Bayne (11434974),Trevor Bayne,11434974,D,6600,1000Bulbs.com 500,Nasca,20.39
,,,,,,,D,Chris Buescher (11434975),Chris Buescher,11434975,D,6400,1000Bulbs.com 500,Nasca,25.34
,,,,,,,D,Regan Smith (11434976),Regan Smith,11434976,D,6300,1000Bulbs.com 500,Nasca,32
,,,,,,,D,AJ Allmendinger (11434977),AJ Allmendinger,11434977,D,6200,1000Bulbs.com 500,Nasca,24.28
,,,,,,,D,Ty Dillon (11434978),Ty Dillon,11434978,D,6000,1000Bulbs.com 500,Nasca,22.26
,,,,,,,D,Michael McDowell (11434979),Michael McDowell,11434979,D,5800,1000Bulbs.com 500,Nasca,22.56
,,,,,,,D,David Ragan (11434980),David Ragan,11434980,D,5700,1000Bulbs.com 500,Nasca,23.08
,,,,,,,D,Brendan Gaughan (11434981),Brendan Gaughan,11434981,D,5500,1000Bulbs.com 500,Nasca,30.19
,,,,,,,D,Matt DiBenedetto (11434982),Matt DiBenedetto,11434982,D,5400,1000Bulbs.com 500,Nasca,20.93
,,,,,,,D,Ross Chastain (11434983),Ross Chastain,11434983,D,5200,1000Bulbs.com 500,Nasca,19.56
,,,,,,,D,Landon Cassill (11434984),Landon Cassill,11434984,D,5100,1000Bulbs.com 500,Nasca,19.25
,,,,,,,D,JJ Yeley (11434985),JJ Yeley,11434985,D,5000,1000Bulbs.com 500,Nasca,19.7
,,,,,,,D,Jeffrey Earnhardt (11434986),Jeffrey Earnhardt,11434986,D,4900,1000Bulbs.com 500,Nasca,18.14
,,,,,,,D,D.J. Kennington (11434987),D.J. Kennington,11434987,D,4800,1000Bulbs.com 500,Nasca,28.19
,,,,,,,D,Corey Lajoie (11434988),Corey Lajoie,11434988,D,4700,1000Bulbs.com 500,Nasca,15.68
,,,,,,,D,Joey Gase (11434989),Joey Gase,11434989,D,4600,1000Bulbs.com 500,Nasca,20.75
,,,,,,,D,Cody Ware (11434990),Cody Ware,11434990,D,4500,1000Bulbs.com 500,Nasca,9.5
,,,,,,,D,Gray Gaulding (11434991),Gray Gaulding,11434991,D,4400,1000Bulbs.com 500,Nasca,15.24
