D,D,D,D,D,D,,Instructions,,,,,,,,
,,,,,,,1. Locate the player you want to select in the list below ,,,,,,,,
,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,,,
,,,,,,,3. Paste the ID into the roster position desired ,,,,,,,,
,,,,,,,4. You must include an ID for each player; you cannot use just the player's name ,,,,,,,,
,,,,,,,5. You can create up to 500 lineups per file ,,,,,,,,
 ,,,,,,,,,,,,,,,
,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,D,Joey Logano (12081708),Joey Logano,12081708,D,9900,Gander RV Duel at DAYTONA 2,Nasca,42.28
,,,,,,,D,Denny Hamlin (12081709),Denny Hamlin,12081709,D,9700,Gander RV Duel at DAYTONA 2,Nasca,37.51
,,,,,,,D,Chase Elliott (12081710),Chase Elliott,12081710,D,9400,Gander RV Duel at DAYTONA 2,Nasca,38.18
,,,,,,,D,Ryan Blaney (12081711),Ryan Blaney,12081711,D,9200,Gander RV Duel at DAYTONA 2,Nasca,33.89
,,,,,,,D,Clint Bowyer (12081712),Clint Bowyer,12081712,D,9100,Gander RV Duel at DAYTONA 2,Nasca,39.09
,,,,,,,D,Aric Almirola (12081713),Aric Almirola,12081713,D,8900,Gander RV Duel at DAYTONA 2,Nasca,39.37
,,,,,,,D,Kurt Busch (12081714),Kurt Busch,12081714,D,8700,Gander RV Duel at DAYTONA 2,Nasca,39.45
,,,,,,,D,Erik Jones (12081715),Erik Jones,12081715,D,8400,Gander RV Duel at DAYTONA 2,Nasca,31.57
,,,,,,,D,Austin Dillon (12081716),Austin Dillon,12081716,D,8200,Gander RV Duel at DAYTONA 2,Nasca,29.92
,,,,,,,D,Kyle Larson (12081717),Kyle Larson,12081717,D,7900,Gander RV Duel at DAYTONA 2,Nasca,43.26
,,,,,,,D,Jamie McMurray (12081718),Jamie McMurray,12081718,D,7600,Gander RV Duel at DAYTONA 2,Nasca,24.01
,,,,,,,D,David Ragan (12081719),David Ragan,12081719,D,7200,Gander RV Duel at DAYTONA 2,Nasca,23.23
,,,,,,,D,Alex Bowman (12081720),Alex Bowman,12081720,D,6900,Gander RV Duel at DAYTONA 2,Nasca,26.56
,,,,,,,D,Ty Dillon (12081721),Ty Dillon,12081721,D,6600,Gander RV Duel at DAYTONA 2,Nasca,23.95
,,,,,,,D,Brendan Gaughan (12081722),Brendan Gaughan,12081722,D,6300,Gander RV Duel at DAYTONA 2,Nasca,34
,,,,,,,D,Michael McDowell (12081723),Michael McDowell,12081723,D,6000,Gander RV Duel at DAYTONA 2,Nasca,21.04
,,,,,,,D,Casey Mears (12081724),Casey Mears,12081724,D,5900,Gander RV Duel at DAYTONA 2,Nasca,0
,,,,,,,D,Ross Chastain (12081725),Ross Chastain,12081725,D,5600,Gander RV Duel at DAYTONA 2,Nasca,19.06
,,,,,,,D,Corey Lajoie (12081726),Corey Lajoie,12081726,D,5300,Gander RV Duel at DAYTONA 2,Nasca,15
,,,,,,,D,Joey Gase (12081727),Joey Gase,12081727,D,5100,Gander RV Duel at DAYTONA 2,Nasca,20.86
,,,,,,,D,BJ McLeod (12081728),BJ McLeod,12081728,D,5000,Gander RV Duel at DAYTONA 2,Nasca,13.38
