Id,Position,First Name,Nickname,Last Name,FPPG,Raced,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
32774-82889,D,Joey,Joey Logano,Logano,45.90000153,1,12300,,,,,,
32774-82886,D,Brad,Brad Keselowski,Keselowski,21,1,12000,,,,,,
32774-82879,D,Kevin,Kevin Harvick,Harvick,31.70000076,1,11600,,,,,,
32774-82878,D,Denny,Denny Hamlin,Hamlin,29.5,1,11200,,,,,,
32774-82872,D,Chase,Chase Elliott,Elliott,44.40000153,1,10800,,,,,,
32774-82858,D,Ryan,Ryan Blaney,Blaney,44.90000153,1,10700,,,,,,
32774-82862,D,Kurt,Kurt Busch,Busch,54.40000153,1,10300,,,,,,
32774-82863,D,Kyle,Kyle Busch,Busch,26.60000038,1,10200,,,,,,
32774-82900,D,Ricky,Ricky Stenhouse Jr.,Stenhouse Jr.,46.43589744,39,10000,,,,,,
32774-82903,D,Martin,Martin Truex Jr.,Truex Jr.,30,1,9500,,,,,,
32774-82859,D,Alex,Alex Bowman,Bowman,41.90000153,1,9300,,,,,,
32774-82855,D,Aric,Aric Almirola,Almirola,43.90000153,1,9200,,,,,,
32774-82883,D,Erik,Erik Jones,Jones,26.5,1,9000,,,,,,
32774-82860,D,Clint,Clint Bowyer,Bowyer,30,1,8800,,,,,,
32774-82888,D,Kyle,Kyle Larson,Larson,25,1,8600,,,,,,
32774-82869,D,Austin,Austin Dillon,Dillon,42.70000076,1,8300,,,,,,
32774-82904,D,Bubba,Bubba Wallace,Wallace,42.38684082,38,8200,,,,,,
32774-82882,D,Jimmie,Jimmie Johnson,Johnson,55.40000153,1,7900,,,,,,
32774-82894,D,Paul,Paul Menard,Menard,32.70000076,1,7600,,,,,,
32774-82864,D,William,William Byron,Byron,41.77105392,38,7500,,,,,,
32774-82880,D,Daniel,Daniel Hemric,Hemric,33.09999847,2,7300,,,,,,
32774-82901,D,Daniel,Daniel Suarez,Suarez,36.79999924,1,7200,,,,,,
32774-82895,D,Ryan,Ryan Newman,Newman,35.40000153,1,6900,,,,,,
32774-82861,D,Chris,Chris Buescher,Buescher,46.77631579,38,6700,,,,,,
32774-82891,D,Michael,Michael McDowell,McDowell,40.25405471,37,6400,,,,,,
32774-82897,D,David,David Ragan,Ragan,45.89473684,38,6100,,,,,,
32774-102000,D,Matt,Matt Tifft,Tifft,0,0,6000,,,,,,
32774-82893,D,Jamie,Jamie McMurray,McMurray,35.79999924,1,5600,,,,,,
32774-82870,D,Ty,Ty Dillon,Dillon,45.14210591,38,5300,,,,,,
32774-82874,D,Brendan,Brendan Gaughan,Gaughan,42.93999939,5,5200,,,,,,
32774-101999,D,Ryan,Ryan Preece,Preece,0,0,5000,,,,,,
32774-102231,D,Ryan,Ryan Truex,Truex,0,0,4800,,,,,,
32774-82865,D,Landon,Landon Cassill,Cassill,39.8,30,4700,,,,,,
32774-82887,D,Corey,Corey Lajoie,LaJoie,31.5625,24,4300,,,,,,
32774-82873,D,Joey,Joey Gase,Gase,38.21250153,8,4200,,,,,,
32774-82866,D,Ross,Ross Chastain,Chastain,39.80857282,35,4100,,,,,,
32774-84226,D,Parker,Parker Kligerman,Kligerman,40.54999924,4,4000,,,,,,
32774-82892,D,B.J.,B.J. McLeod,McLeod,31.94666748,15,4000,,,,,,
32774-82905,D,Cody,Cody Ware,Ware,27.79999924,4,4000,,,,,,
32774-102623,D,Tyler,Tyler Reddick,Reddick,0,0,4000,,,,,,
32774-102625,D,Casey,Casey Mears,Mears,0,0,4000,,,,,,
32774-82868,D,Matt,Matt DiBenedetto,DiBenedetto,41.26216084,37,4000,,,,,,
