Driver,Practice1,Practice2,Total
Joey Logano,41.93,41.98,41.95
Brad Keselowski,42.02,42.03,42.03
Martin Truex Jr,41.6,41.99,41.8
Kyle Busch,41.76,42,41.88
Ryan Newman,42.1,42.8,42.45
Ricky Stenhouse Jr,41.92,42.23,42.08
William Byron,42.47,41.8,42.13
Austin Dillon,42.21,42.48,42.34
Kyle Larson,42.06,41.99,42.03
Alex Bowman,42.02,42.3,42.16
Clint Bowyer,42.02,42.47,42.25
Erik Jones,41.77,42.24,42.01
Chase Elliott,42.18,42.15,42.16
Michael McDowell,42.01,42.56,42.28
Aric Almirola,41.79,42.25,42.02
Matt DiBenedetto,42.13,42.29,42.21
Paul Menard,42.35,42.38,42.37
Bubba Wallace,42.45,42.5,42.48
Chris Buescher,42.1,42.04,42.07
Daniel Suarez,41.96,42.25,42.11
Jimmie Johnson,42.07,42.22,42.14
Ryan Preece,42.22,41.81,42.02
Ryan Blaney,41.91,41.81,41.86
Corey LaJoie,42.96,43.2,43.08
David Ragan,42.49,42.75,42.62
Daniel Hemric,42.36,42.34,42.35
Matt Tifft,43.07,42.96,43.02
Ty Dillon,42.44,42.52,42.48
Ross Chastain,43.2,43.33,43.27
Landon Cassill,43.56,43.51,43.53
Reed Sorenson,43.38,44.04,43.71
Cody Ware,44.25,none,44.25
BJ McLeod,44.48,43.97,44.22
Garrett Smithley,45.04,none,45.04
Joey Gase,46.59,45.79,46.19
Denny Hamlin,42.15,41.88,42.02
Kurt Busch,42.16,42.32,42.24
Kevin Harvick,42.34,41.93,42.14
