Driver,Practice1,Practice2,Total
Christopher Bell,41.7,42.31,42.01
Tyler Reddick,41.5,42.39,41.95
John H Nemechek,42.6,42.63,42.62
Brandon Jones,41.89,42.27,42.08
Justin Haley,42.79,42.37,42.58
Noah Gragson,42.62,42.08,42.35
Chase Briscoe,42.99,42.05,42.52
Brandon Brown,44.06,42.98,43.52
Ryan Preece,42.07,42.4,42.23
Stephen Leicht,44.04,44.31,44.17
Austin Cindric,42.04,42.11,42.08
Ray Black Jr,44.11,44.1,44.11
Gray Gaulding,43.39,43.56,43.48
Ryan Sieg,42.46,42.09,42.28
Cole Custer,42.21,42.13,42.17
Michael Annett,42.34,42.22,42.28
Kyle Busch,42.02,42.11,42.06
Tommy Joe Martins,none,44.64,44.64
Justin Allgaier,41.57,42.02,41.8
Jeff Green,42.58,none,42.58
David Starr,44.66,43.95,44.3
Garrett Smithley,43.94,44.33,44.13
Caesar Bacarella,44.09,43.8,43.95
Jeremy Clements,41.48,42.73,42.1
BJ McLeod,43.29,none,43.29
Ross Chastain,42.87,43.19,43.03
Timmy Hill,43.34,43.45,43.4
Josh Williams,43.17,43.55,43.36
Josh Bilicki,42.93,none,42.93
Morgan Shepherd,47.06,45.83,46.45
Vinnie Miller,none,45.52,45.52
Chad Finchum,none,44.14,44.14
Mike Harmon,none,46.69,46.69
Matt Mills,none,44.24,44.24
Bayley Currey,none,43.44,43.44
Joey Gase,none,44.1,44.1
John Jackson,none,47.32,47.32
